Ticker,Score,Data
GOOGLE,5,2026-03-07 15:56:34.255685
GOOGL,3,2026-03-07 16:42:27.092437
XOM,2,2026-03-07 16:46:01.442467
GOOGL,4,2026-03-07 16:46:08.120909
GOOGL,4,2026-03-07 20:53:56.522352
GOOGL,4,2026-03-07 20:56:31.318023
