ck,val
Segunda_0,1
Segunda_1,1
Segunda_2,1
Segunda_3,1
Segunda_4,1
Quarta_0,1
Quarta_1,1
Quarta_2,1
Quarta_4,1
Quarta_3,1
Sexta_0,1
Sexta_1,1
Sexta_3,1
Sexta_4,1
Sexta_2,1
